RSB_frequencies_MHz RSB_timestamps
536842.9219949394 1744851778.6914523 325.79859044462256
536855.8149650097 1744851874.7855601 513.6642855493263
536724.5642034262 1744851970.3190386 1037.2686326423789
536962.7395075858 1744852065.920788 309.99491538953697
536871.8194900751 1744852161.0209465 1099.1781626623883
536407.0419713855 1744852288.0323646 409.34392380289296
536467.6112446934 1744852383.581323 651.142150272523
536298.6430580914 1744852480.3548536 304.2146657572362
536464.3895391673 1744852575.8925183 688.5912742985948
536620.4923875332 1744852671.4793015 394.3267651424491
536517.9107647687 1744852796.7544355 437.50984544818243
536850.2835661918 1744852892.46553 345.02058332921024
536817.6486003548 1744852988.2368271 453.2752058028605
536836.6275421828 1744853083.88926 442.0802414492284
537270.0384963751 1744853179.5679004 572.5280114665385
536436.9697123468 1744853304.6048267 372.05972114699813
536766.9661186934 1744853400.152381 524.0761703918661
536803.2677961886 1744853495.855743 496.0690629955066
536779.8690217435 1744853592.1058643 319.78784458242535
537254.764488697 1744853688.828892 383.38314235812436
