RSB_frequencies_MHz RSB_timestamps
537502.6789525598 1744773031.1065626 226.00757638594808
537322.9746904969 1744773126.0522504 204.6322170250813
537084.080793187 1744773220.9760811 600.168750901362
537058.8166188002 1744773321.2092896 388.60454525332096
536904.9606175274 1744773420.7137485 331.5142949215508
537417.1308436692 1744773544.661426 343.9919429311413
537134.2414471209 1744773641.115387 351.1734867429263
536904.1040473282 1744773738.2548819 393.22964031338864
536654.018278718 1744773833.6762671 314.41827343205887
536819.3714375347 1744773928.5568137 199.3870845679516
